charge_mwh,discharge_mwh
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.396780376,0
2.133928622,0
2.335468795,0
6.740137737,0
4.127511569,0
8.348575399,0
1.219606505,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.4387549,0
0.721808417,0
0.924050134,0
1.327173484,0
0.576331004,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3.187434262,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.050264039,0
0.222913636,0
0.332499549,0
1.386903444,0
1.525591405,0
0.958854441,0
0.475440146,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.395811547,0
1.981177774,0
3.052438818,0
3.12884645,0
2.874564022,0
1.137133523,0
0,0
0,52.70462767
0,47.29537233
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.207327183,0
0.150113246,0
0.875080622,0
5.859487786,0
11.13776588,0
1.744059724,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.757575402,0
0.99027567,0
0.76978473,0
0.832267114,0
1.383745337,0
0.720752583,0
0.135322477,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.054902405,0
3.980599442,0
4.859733834,0
5.187827885,0
7.051350876,0
9.62256018,0
1.42874885,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,17.84771314
0,0
0.502046265,0
1.046449541,0
1.264217085,0
1.503579173,0
2.982820802,0
3.36583417,0
1.13811254,0
0,0
0,52.70462767
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.090800288,0
5.180529769,0
15.02901729,0
12.68843483,0
14.84747605,0
5.526790004,0
0,2.658420561
0,52.70462767
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
