price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh,bess_additional_export_mwh,profile_charge_mwh,profile_discharge_mwh
45.96,0.5256583509747431,52.56583509747431,0.0,0.0,-0.0,0.0,0.0,0.0,1956.0325227074277,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,1.0,100.0,50.0,0.0,47.43416490252569,0.0,-2242.5,-2242.5,-286.4674772925723,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.91,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,-286.4674772925723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.67,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,-286.4674772925723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.86,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,-286.4674772925723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.16,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,-286.4674772925723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.08,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,-286.4674772925723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.73,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,-286.4674772925723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.08,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,-286.4674772925723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.64,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,-286.4674772925723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.98,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,-286.4674772925723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.05,0.9791538654899999,97.91538654899999,0.0,1.9776379638551524,-0.0,2.08461345100001,288.0825221947801,288.0825221947801,1.615044902207785,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.9776379638551524,1.9776379638551524,0.0,0.0
145.61,0.9791538654899999,97.91538654899999,0.0,0.0,-0.0,0.0,0.0,0.0,1.615044902207785,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143.35,0.98354141449,98.354141449,0.0,0.0,0.4387549,0.0,-65.6594600967572,-65.6594600967572,-64.04441519454942,0.462488273,0.4624882728531371,0.0,0.0,0.462488273,65.65946011781,0.462488273,65.65946011781,1.4686291072152358e-10,1.4686291072152358e-10,-0.4624882728531371,0.4387549,0.0
144.38,0.99075949866,99.075949866,0.0,0.0,0.721808417,0.0,-108.80196145915562,-108.80196145915562,-172.84637665370502,0.760852877,0.7608528773335339,0.0,0.0,0.760852877,108.80196141100001,0.760852877,108.80196141100001,0.0,0.0,-0.760852877,0.721808417,0.0
143.76,1.0,100.0,0.0,0.0,0.924050134,0.0,-138.6830129185924,-138.6830129185924,-311.5293895722974,0.974034365,0.9740343652079325,0.0,0.0,0.974034365,138.68301288869998,0.974034365,138.68301288869998,0.0,0.0,-0.974034365,0.924050134,0.0
148.2,1.0,100.0,0.0,1.2590673178863108,1.327173484,1.327173484,-20.539584845151044,-20.539584845151044,-332.0689744174485,1.398963687,1.3989636865403454,0.0,0.0,1.398963687,205.39584852533997,1.398963687,205.39584852533997,4.596545366553073e-10,1.2590673183459653,-0.13989636865403465,1.327173484,0.0
155.34,1.0,100.0,0.0,0.5467555976434839,0.576331004,0.576331004,-9.353165756474532,-9.353165756474532,-341.422140173923,0.60750622,0.607506219603871,0.0,0.0,0.60750622,93.5316576312,0.60750622,93.5316576312,3.9612901847618787e-10,0.5467555980396129,-0.06075062196038705,0.576331004,0.0
162.89,1.0,100.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-341.422140173923,0.131521144,0.0,0.0,0.0,0.131521144,21.24197996744,0.131521144,21.24197996744,0.131521144,0.131521144,0.0,0.0,0.0
170.0,0.5270462766947299,52.70462766947299,0.0,44.868329805051374,-0.0,47.29537233052701,7565.697771727762,7565.697771727762,7224.275631553839,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,44.868329805051374,44.868329805051374,0.0,0.0
174.74,-0.0,-0.0,0.0,50.0,-0.0,52.70462766947299,8668.0,8668.0,15892.275631553839,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
164.46,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,15892.275631553839,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,15892.275631553839,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.67,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,15892.275631553839,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.67,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,15892.275631553839,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.06,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,15892.275631553839,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.81,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,15892.275631553839,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.93,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,15892.275631553839,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.94,0.05131670194948626,5.131670194948626,5.409255338945984,0.0,5.131670194948626,0.0,-455.4052069858624,-455.4052069858624,15436.870424567976,0.0,0.0,5.409255338945984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.44,0.5256583509747431,52.56583509747431,50.0,0.0,47.43416490252569,0.0,-4083.0,-4083.0,11353.870424567976,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.33,1.0,100.0,50.0,0.0,47.43416490252569,0.0,-4124.5,-4124.5,7229.370424567976,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.14,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,7229.370424567976,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.48,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,7229.370424567976,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154.96,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,0.0,7229.370424567976,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
