price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh
98.83,1.0,100.0,0.0,0.0,-0.0,0.0,0.0,-195.92103142069212,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.53,1.0,100.0,-0.0,0.0,0.0,0.0,0.0,-195.92103142069212,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.23,0.4729537233052701,47.29537233052701,0.0,50.0,0.0,52.70462766947299,6292.5,6096.578968579308,8.351999999999999,0.0,0.0,0.0,8.351999999999999,1062.6249599999999,8.351999999999999,1062.6249599999999,8.351999999999999,58.352
124.53,0.0,0.0,0.0,44.868329805051374,0.0,47.29537233052701,5525.534815492077,11622.113784071385,28.072,0.0,0.0,0.0,28.072,3495.80616,28.072,3495.80616,28.072,72.94032980505138
111.58,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,11622.113784071385,40.832,-0.0,0.0,-0.0,40.832,4556.03456,40.832,4556.03456,40.832,40.832
100.4,0.4225814882836209,42.25814882836209,0.0,0.0,42.25814882836209,0.0,-4472.217600000001,7149.896184071385,44.544000000000004,44.544000000000004,0.0,0.0,44.544000000000004,4472.217600000001,44.544000000000004,4472.217600000001,0.0,0.0
105.1,0.790139345280312,79.0139345280312,0.0,0.0,36.755785699669104,0.0,-4071.9943999999996,3077.901784071385,38.744,38.744,0.0,0.0,38.744,4071.9943999999996,38.744,4071.9943999999996,0.0,0.0
111.21,1.0,100.0,0.0,0.0,20.9860654719688,0.0,-2460.1048062441814,617.7969778272036,23.548000000000002,22.12125533894597,0.0,0.0,23.548000000000002,2618.77308,23.548000000000002,2618.77308,1.4267446610540304,1.4267446610540304
126.18,1.0,100.0,0.0,-0.0,0.0,-0.0,0.0,617.7969778272036,4.175999999999999,0.0,0.0,0.0,4.175999999999999,526.9276799999999,4.175999999999999,526.9276799999999,4.175999999999999,4.175999999999999
135.26,1.0,100.0,-0.0,0.0,0.0,0.0,0.0,617.7969778272036,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.73,0.4729537233052701,47.29537233052701,-0.0,50.0,0.0,52.70462766947299,7417.499999999999,8035.296977827203,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
145.27,-0.0,-0.0,-0.0,44.868329805051374,0.0,47.29537233052701,6456.103975648843,14491.400953476044,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.868329805051374
107.37,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.6,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.94,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.66,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.77,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.69,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.13,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.21,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.43,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.73,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.28,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.44,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.12,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.28,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,14491.400953476044,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.01,0.053923158661191205,5.39231586611912,0.0,0.0,5.39231586611912,0.0,-426.35684000000003,14065.044113476044,5.684,5.684,0.0,0.0,5.684,426.35684000000003,5.684,426.35684000000003,0.0,0.0
75.43,0.16837231173800518,16.837231173800518,0.0,0.0,11.444915307681399,0.0,-909.9875200000001,13155.056593476043,12.064,12.064,0.0,0.0,12.064,909.9875200000001,12.064,909.9875200000001,0.0,0.0
62.36,0.32794084247010163,32.79408424701016,0.0,0.0,15.956853073209642,0.0,-1048.8952,12106.161393476043,16.82,16.82,0.0,0.0,16.82,1048.8952,16.82,1048.8952,0.0,0.0
53.89,0.5469348949920821,54.69348949920822,0.0,0.0,21.899405252198058,0.0,-1243.99676,10862.164633476043,23.084,23.084,0.0,0.0,23.084,1243.99676,23.084,1243.99676,0.0,0.0
52.39,0.7758332011457101,77.58332011457101,0.0,0.0,22.889830615362797,0.0,-1264.06592,9598.098713476043,24.128,24.128,0.0,0.0,24.128,1264.06592,24.128,1264.06592,0.0,0.0
53.65,0.9166936972402503,91.66936972402503,0.0,0.0,14.08604960945403,0.0,-796.5952,8801.503513476044,14.848,14.848,0.0,0.0,14.848,796.5952,14.848,796.5952,0.0,0.0
