price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh
127.23,0.4729537233052701,0.9459074466105402,0.0,1.0,0.0,1.0540925533894598,125.85000000000001,125.85000000000001,123.39380509526362,0.18,0.0,0.0,0.0,0.18,22.653000000000002,0.18,22.653000000000002,0.18,1.18
124.53,0.0,0.0,0.0,0.8973665961010275,0.0,0.9459074466105402,110.51069630984153,110.51069630984153,233.90450140510515,0.605,0.0,0.0,0.0,0.605,74.50575,0.605,74.50575,0.605,1.5023665961010275
111.58,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,233.90450140510515,0.8799999999999999,-0.0,0.0,-0.0,0.8799999999999999,96.97599999999998,0.8799999999999999,96.97599999999998,0.8799999999999999,0.8799999999999999
100.4,0.4553679830642466,0.9107359661284932,0.0,0.0,0.9107359661284932,0.0,-95.0592,-95.0592,138.84530140510515,0.96,0.96,0.0,0.0,0.96,95.0592,0.96,95.0592,0.0,0.0
105.1,0.8514432600003361,1.7028865200006722,0.0,0.0,0.792150553872179,0.0,-86.6062,-86.6062,52.239101405105146,0.8350000000000001,0.8350000000000001,0.0,0.0,0.8350000000000001,86.6062,0.8350000000000001,86.6062,0.0,0.0
111.21,1.0,2.0,0.0,0.0,0.2971134799993278,0.0,-34.39712027752874,-34.39712027752874,17.841981127576403,0.5075000000000001,0.31318510677891964,0.0,0.0,0.5075000000000001,55.73872500000001,0.5075000000000001,55.73872500000001,0.19431489322108042,0.19431489322108042
126.18,1.0,2.0,0.0,-0.0,0.0,-0.0,0.0,0.0,17.841981127576403,0.09,0.0,0.0,0.0,0.09,11.232000000000001,0.09,11.232000000000001,0.09,0.09
135.26,1.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,17.841981127576403,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.73,0.4729537233052701,0.9459074466105402,-0.0,1.0,0.0,1.0540925533894598,148.35,148.35,166.1919811275764,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145.27,-0.0,-0.0,-0.0,0.8973665961010275,0.0,0.9459074466105402,129.12207951297685,129.12207951297685,295.3140606405533,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8973665961010275
107.37,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.6,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.94,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.66,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.77,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.69,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.13,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.21,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.43,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.73,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.28,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.44,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.12,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.28,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,295.3140606405533,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.01,0.05810685200559397,0.11621370401118794,0.0,0.0,0.11621370401118794,0.0,-9.019675,-9.019675,286.2943856405533,0.1225,0.1225,0.0,0.0,0.1225,9.019675000000001,0.1225,9.019675000000001,0.0,0.0
75.43,0.1592294271027321,0.3184588542054642,0.0,0.0,0.20224515019427627,0.0,-15.786357156978987,-15.786357156978987,270.5080284835743,0.26,0.21318510677891947,0.0,0.0,0.26,19.253000000000004,0.26,19.253000000000004,0.04681489322108054,0.04681489322108054
62.36,0.3311782748743877,0.6623565497487754,0.0,0.0,0.34389769554331123,0.0,-22.105249999999998,-22.105249999999998,248.4027784835743,0.3625,0.3625,0.0,0.0,0.3625,22.105249999999998,0.3625,22.105249999999998,0.0,0.0
53.89,0.567163245264453,1.134326490528906,0.0,0.0,0.47196994078013066,0.0,-26.123725000000004,-26.123725000000004,222.2790534835743,0.49750000000000005,0.49750000000000005,0.0,0.0,0.49750000000000005,26.123725,0.49750000000000005,26.123725,0.0,0.0
52.39,0.8138209027575867,1.6276418055151733,0.0,0.0,0.4933153149862672,0.0,-26.5252,-26.5252,195.7538534835743,0.52,0.52,0.0,0.0,0.52,26.525199999999998,0.52,26.525199999999998,0.0,0.0
53.65,0.9656102304456688,1.9312204608913377,0.0,0.0,0.3035786553761644,0.0,-16.726399999999998,-16.726399999999998,179.02745348357428,0.32,0.32,0.0,0.0,0.32,16.726399999999998,0.32,16.726399999999998,0.0,0.0
72.38,1.0,2.0,0.0,0.0,0.06877953910866226,0.0,-5.1475,-5.1475,173.87995348357427,0.07250000000000001,0.07250000000000001,0.0,0.0,0.07250000000000001,5.147500000000001,0.07250000000000001,5.147500000000001,0.0,0.0
100.31,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
105.43,1.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108.09,1.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,173.87995348357427,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.36,1.0,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,173.87995348357427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
