price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh,bess_additional_export_mwh,profile_charge_mwh,profile_discharge_mwh
57.91,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.67,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.86,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.16,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.08,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.73,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104.08,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.64,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.98,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.05,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.61,0.753020090031372,75.3020090031372,0.0,0.0,-0.0,0.0,0.0,0.0,-370.15124068927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143.35,0.7574076390327653,75.74076390327653,0.0,0.0,0.4387549001393264,0.0,-65.65946011781,-65.65946011781,-435.81070080708,0.462488273,0.462488273,0.0,0.0,0.462488273,65.65946011781,0.462488273,65.65946011781,0.0,0.0,-0.462488273,0.0,0.0
144.38,0.7646257231996012,76.46257231996012,0.0,0.0,0.721808416683582,0.0,-108.801961411,-108.801961411,-544.61266221808,0.760852877,0.760852877,0.0,0.0,0.760852877,108.80196141100001,0.760852877,108.80196141100001,0.0,0.0,-0.760852877,0.0,0.0
143.76,0.7738662245376285,77.38662245376285,0.0,0.0,0.9240501338027379,0.0,-138.6830128887,-138.6830128887,-683.29567510678,0.974034365,0.974034365,0.0,0.0,0.974034365,138.68301288869998,0.974034365,138.68301288869998,0.0,0.0,-0.974034365,0.0,0.0
148.2,0.7871379593819893,78.71379593819893,0.0,0.0,1.3271734844360665,0.0,-205.39584852533997,-205.39584852533997,-888.6915236321199,1.398963687,1.398963687,0.0,0.0,1.398963687,205.39584852533997,1.398963687,205.39584852533997,0.0,0.0,-1.398963687,0.0,0.0
155.34,0.7929012694257473,79.29012694257473,0.0,0.0,0.576331004375801,0.0,-93.5316576312,-93.5316576312,-982.2231812633199,0.60750622,0.60750622,0.0,0.0,0.60750622,93.5316576312,0.60750622,93.5316576312,0.0,0.0,-0.60750622,0.0,0.0
162.89,0.7929012694257473,79.29012694257473,0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,0.131521144,0.0,0.0,0.0,0.131521144,21.24197996744,0.131521144,21.24197996744,0.131521144,0.131521144,0.0,0.0,0.0
170.0,0.7929012694257473,79.29012694257473,-0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.74,0.7929012694257473,79.29012694257473,-0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164.46,0.7929012694257473,79.29012694257473,-0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153.0,0.7929012694257473,79.29012694257473,-0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.67,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.67,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.06,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78.81,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.93,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.94,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.44,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.33,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.14,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.48,0.7929012694257473,79.29012694257473,0.0,0.0,-0.0,0.0,0.0,0.0,-982.2231812633199,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154.96,0.7929012694257473,79.29012694257473,-0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.92,0.7929012694257473,79.29012694257473,-0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167.07,0.7929012694257473,79.29012694257473,-0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.57,0.7929012694257473,79.29012694257473,0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,5.132739321,0.0,0.0,0.0,5.132739321,858.14268707799,5.132739321,858.14268707799,5.132739321,5.132739321,0.0,0.0,0.0
169.49,0.7929012694257473,79.29012694257473,0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,15.05389972,0.0,0.0,0.0,15.05389972,2530.7110819292,15.05389972,2530.7110819292,15.05389972,15.05389972,0.0,0.0,0.0
164.5,0.7929012694257473,79.29012694257473,0.0,0.0,0.0,0.0,0.0,0.0,-982.2231812633199,26.27732631,0.0,0.0,0.0,26.27732631,4286.3574676872,26.27732631,4286.3574676872,26.27732631,26.27732631,0.0,0.0,0.0
160.91,0.8247756120503043,82.47756120503043,0.0,0.0,3.187434262455696,0.0,-535.9969854370535,-535.9969854370535,-1518.2201667003733,26.98220508,3.359850720472974,0.0,0.0,26.98220508,4304.4711764124,26.98220508,4304.4711764124,23.622354359527026,23.622354359527026,-3.3598507204729735,0.0,0.0
163.06,0.8247756120503043,82.47756120503043,0.0,0.0,0.0,0.0,0.0,0.0,-1518.2201667003733,21.3134862,0.0,0.0,0.0,21.3134862,3445.964448816,21.3134862,3445.964448816,21.3134862,21.3134862,0.0,0.0,0.0
167.73,0.8247756120503043,82.47756120503043,0.0,0.0,0.0,0.0,0.0,0.0,-1518.2201667003733,13.93618709,0.0,0.0,0.0,13.93618709,2318.2847224215,13.93618709,2318.2847224215,13.93618709,13.93618709,0.0,0.0,0.0
166.61,0.8247756120503043,82.47756120503043,0.0,0.0,0.0,0.0,0.0,0.0,-1518.2201667003733,1.613642749,0.0,0.0,0.0,1.613642749,266.62219141727,1.613642749,266.62219141727,1.613642749,1.613642749,0.0,0.0,0.0
170.72,0.8247756120503043,82.47756120503043,-0.0,0.0,0.0,0.0,0.0,0.0,-1518.2201667003733,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.93,0.8247756120503043,82.47756120503043,-0.0,0.0,0.0,0.0,0.0,0.0,-1518.2201667003733,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.99,0.8247756120503043,82.47756120503043,-0.0,0.0,0.0,0.0,0.0,0.0,-1518.2201667003733,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.62,0.8247756120503043,82.47756120503043,-0.0,0.0,0.0,0.0,0.0,0.0,-1518.2201667003733,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
